iter	Passed	Remaining
399	59834	78831
400	60017	78726
401	60250	78685
402	60488	78649
403	60763	78661
404	60927	78528
405	61062	78358
406	61215	78211
407	61355	78047
408	61493	77881
409	61643	77731
410	61813	77604
411	61967	77459
412	62112	77302
413	62268	77158
414	62423	77013
415	62559	76846
416	62702	76686
417	62871	76558
418	63025	76412
419	63182	76270
420	63363	76156
421	63512	76003
422	63673	75866
423	63840	75735
424	63984	75576
425	64134	75425
426	64280	75270
427	64430	75118
428	64584	74972
429	64761	74851
430	64929	74721
431	65074	74564
432	65208	74394
433	65356	74241
434	65472	74051
435	65621	73899
436	65757	73732
437	65974	73656
438	66147	73530
439	66300	73382
440	66460	73242
441	66658	73143
442	66815	72999
443	66965	72847
444	67116	72696
445	67277	72557
446	67433	72412
447	67602	72280
448	67788	72166
449	67931	72007
450	68074	71847
451	68207	71677
452	68359	71528
453	68517	71385
454	68663	71228
455	68822	71086
456	68966	70928
457	69178	70839
458	69333	70693
459	69473	70530
460	69612	70367
461	69752	70205
462	69904	70055
463	70050	69899
464	70176	69723
465	70331	69577
466	70500	69443
467	70644	69285
468	70797	69137
469	70938	68976
470	71077	68813
471	71205	68641
472	71348	68482
473	71497	68330
474	71655	68185
475	71832	68059
476	71993	67918
477	72150	67773
478	72295	67617
479	72426	67447
480	72550	67271
481	72655	67078
482	72767	66891
483	72894	66719
484	73032	66557
485	73187	66410
486	73320	66244
487	73463	66087
488	73584	65909
489	73746	65770
490	73888	65611
491	74015	65440
492	74122	65252
493	74267	65096
494	74396	64927
495	74509	64745
496	74666	64600
497	74827	64459
498	74985	64316
499	75132	64163
500	75273	64004
501	75388	63825
502	75521	63660
503	75662	63502
504	75818	63357
505	75979	63215
506	76135	63070
507	76307	62939
508	76491	62816
509	76685	62701
510	76813	62533
511	76925	62352
512	77046	62177
513	77188	62020
514	77330	61864
515	77538	61760
516	77765	61670
517	77948	61546
518	78128	61418
519	78256	61250
520	78468	61148
521	78599	60982
522	78758	60838
523	78908	60687
524	79052	60531
525	79186	60368
526	79329	60212
527	79445	60035
528	79570	59865
529	79691	59693
530	79804	59515
531	79953	59364
532	80078	59195
533	80245	59057
534	80385	58899
535	80498	58721
536	80630	58558
537	80794	58418
538	80929	58256
539	81059	58092
540	81169	57913
541	81364	57795
542	81596	57703
543	81790	57584
544	81947	57438
545	82120	57303
546	82271	57154
547	82460	57030
548	82669	56920
549	82895	56821
550	83103	56709
551	83304	56592
552	83471	56452
553	83598	56285
554	83769	56148
555	83929	56003
556	84048	55831
557	84187	55672
558	84325	55513
559	84450	55345
560	84619	55206
561	84766	55053
562	84904	54894
563	85038	54732
564	85178	54574
565	85317	54416
566	85445	54250
567	85565	54081
568	85700	53920
569	85827	53754
570	85970	53600
571	86142	53462
572	86295	53313
573	86454	53168
574	86631	53033
575	86785	52884
576	86931	52731
577	87093	52587
578	87239	52434
579	87427	52305
580	87561	52144
581	87716	51996
582	87864	51844
583	88035	51705
584	88200	51563
585	88352	51413
586	88479	51249
587	88636	51101
588	88789	50952
589	88922	50791
590	89130	50673
591	89318	50543
592	89468	50392
593	89644	50255
594	89802	50108
595	89975	49969
596	90211	49865
597	90412	49741
598	90672	49650
599	90840	49508
600	90997	49359
601	91216	49244
602	91434	49129
603	91629	49000
604	91857	48889
605	92023	48745
606	92212	48612
607	92372	48465
608	92573	48338
609	92729	48188
610	92894	48043
611	93084	47910
612	93283	47783
613	93501	47664
614	93699	47535
615	93884	47399
616	94057	47257
617	94214	47107
618	94392	46967
619	94663	46873
620	94923	46774
621	95129	46646
622	95306	46505
623	95472	46359
624	95664	46225
625	95801	46064
626	96011	45938
627	96238	45820
628	96445	45692
629	96656	45566
630	96833	45424
631	97038	45295
632	97251	45169
633	97462	45041
634	97611	44886
635	97824	44759
636	98000	44615
637	98134	44452
638	98291	44300
639	98471	44158
640	98635	44009
641	98813	43865
642	99032	43740
643	99178	43582
644	99356	43439
645	99546	43301
646	99706	43149
647	99895	43010
648	100094	42875
649	100264	42728
650	100400	42566
651	100543	42407
652	100661	42237
653	100825	42087
654	100985	41935
655	101115	41771
656	101246	41608
657	101371	41442
658	101561	41302
659	101721	41151
660	101877	40997
661	102006	40833
662	102144	40672
663	102276	40510
664	102416	40350
665	102578	40199
666	102739	40048
667	102946	39915
668	103121	39768
669	103292	39621
670	103425	39458
671	103545	39291
672	103675	39128
673	103820	38971
674	103959	38811
675	104121	38660
676	104256	38499
677	104404	38343
678	104539	38182
679	104708	38033
680	104830	37868
681	104949	37701
682	105079	37539
683	105204	37375
684	105331	37212
685	105449	37045
686	105612	36895
687	105797	36752
688	105934	36592
689	106102	36444
690	106271	36295
691	106409	36136
692	106536	35973
693	106689	35819
694	106872	35675
695	107037	35525
696	107196	35373
697	107340	35216
698	107474	35056
699	107597	34892
700	107722	34729
701	107853	34568
702	108014	34417
703	108173	34265
704	108315	34107
705	108457	33950
706	108639	33805
707	108810	33657
708	108978	33508
709	109126	33352
710	109279	33198
711	109410	33038
712	109616	32900
713	109745	32739
714	109908	32588
715	110038	32427
716	110158	32264
717	110307	32108
718	110433	31947
719	110589	31794
720	110703	31629
721	110842	31471
722	110981	31314
723	111122	31157
724	111277	31004
725	111428	30850
726	111587	30698
727	111721	30539
728	111867	30383
729	111979	30219
730	112108	30059
731	112245	29901
732	112375	29741
733	112511	29584
734	112683	29435
735	112830	29280
736	112954	29119
737	113105	28966
738	113217	28802
739	113353	28644
740	113489	28487
741	113634	28331
742	113757	28171
743	113873	28009
744	113998	27849
745	114134	27692
746	114282	27537
747	114401	27376
748	114550	27222
749	114733	27077
750	114848	26915
751	114987	26758
752	115125	26602
753	115274	26448
754	115402	26290
755	115516	26128
756	115656	25973
757	115791	25816
758	115916	25657
759	116055	25501
760	116167	25340
761	116288	25180
762	116408	25020
763	116530	24861
764	116663	24705
765	116789	24547
766	116945	24395
767	117066	24236
768	117214	24083
769	117360	23929
770	117479	23770
771	117588	23609
772	117724	23453
773	117850	23295
774	117954	23134
775	118078	22976
776	118184	22815
777	118333	22662
778	118484	22510
779	118607	22352
780	118749	22198
781	118873	22041
782	119013	21887
783	119151	21733
784	119264	21573
785	119393	21417
786	119545	21266
787	119676	21110
788	119793	20952
789	119959	20803
790	120089	20647
791	120243	20496
792	120363	20338
793	120474	20180
794	120597	20023
795	120744	19871
796	120895	19719
797	121027	19564
798	121147	19407
799	121258	19249
800	121368	19091
801	121527	18941
802	121659	18786
803	121789	18631
804	121906	18475
805	122013	18317
806	122168	18166
807	122280	18009
808	122409	17854
809	122554	17702
810	122706	17551
811	122831	17396
812	122971	17243
813	123174	17099
814	123295	16943
815	123404	16786
816	123516	16630
817	123688	16481
818	123876	16335
819	124012	16182
820	124147	16028
821	124331	15881
822	124457	15727
823	124605	15575
824	124752	15423
825	124879	15269
826	125006	15115
827	125167	14965
828	125341	14817
829	125484	14665
830	125615	14511
831	125733	14356
832	125882	14205
833	126012	14051
834	126118	13895
835	126236	13741
836	126362	13587
837	126479	13432
838	126624	13281
839	126753	13128
840	126892	12975
841	127013	12821
842	127127	12667
843	127309	12519
844	127472	12370
845	127611	12218
846	127773	12068
847	127913	11916
848	128076	11766
849	128244	11617
850	128412	11468
851	128546	11315
852	128683	11163
853	128806	11010
854	128950	10858
855	129061	10704
856	129171	10550
857	129331	10400
858	129442	10246
859	129620	10098
860	129752	9946
861	129878	9793
862	130026	9642
863	130144	9489
864	130252	9335
865	130395	9184
866	130569	9035
